Alt Stock Year ABC OFL Catch SSB F Total_Biom SPR_Implied
EBS_Pollock_2013 3 789 2019.5 2821.94 21613 10807.1 0.41734 0.362868 10737.6
EBS_Pollock_2013 2 270 2019.5 2221.48 19856.9 8527.4 0.439671 0.330136 8305.7
EBS_Pollock_2013 2 271 2019.5 2514.58 26106.5 9751.91 0.413735 0.369755 9623.83
EBS_Pollock_2013 2 272 2019.5 3056.94 26803.8 12181.1 0.407691 0.379584 11972.2
EBS_Pollock_2013 2 273 2019.5 2116.22 23722.1 8188.88 0.452306 0.313086 7724.85
EBS_Pollock_2013 2 274 2019.5 2458.34 23405.8 9255.5 0.425863 0.351742 9205.05
EBS_Pollock_2013 6 910 2019.5 2678.82 28178.6 11061.3 0.362165 0.472547 10866.7
EBS_Pollock_2013 2 275 2019.5 2360.08 24865.6 9507.61 0.439422 0.334688 9001.7
EBS_Pollock_2013 6 911 2019.5 1954.87 13600.8 7396.01 0.418823 0.363449 7361.42
EBS_Pollock_2013 2 276 2019.5 2881.46 25832.5 11252.3 0.411323 0.373589 11113.5
EBS_Pollock_2013 6 912 2019.5 2318.75 20273.8 9123.49 0.398171 0.405417 9014.84
EBS_Pollock_2013 2 277 2019.5 2798.77 29692.9 11565 0.413914 0.369888 10953.8
EBS_Pollock_2013 6 913 2019.5 2016.31 17574.6 7665.48 0.411433 0.376045 7646.15
EBS_Pollock_2013 2 278 2019.5 3187.19 27504.1 12439.7 0.417374 0.364743 12287.8
EBS_Pollock_2013 6 914 2019.5 2805.3 26102.3 11500.6 0.364465 0.466835 11355.7
EBS_Pollock_2013 2 279 2019.5 2611.1 21312.7 9921.71 0.425619 0.352823 9840.46
EBS_Pollock_2013 6 915 2019.5 2499.33 25037.9 10381.5 0.365675 0.464117 10153.6
EBS_Pollock_2013 6 916 2019.5 2417.08 24425.8 10224.4 0.371513 0.451314 9879.57
EBS_Pollock_2013 6 917 2019.5 2387.92 24381.4 9495.57 0.387206 0.425344 9410.12
EBS_Pollock_2013 6 918 2019.5 2438.08 24381.7 10201.7 0.368308 0.458664 9845.75
EBS_Pollock_2013 6 919 2019.5 2238.99 20376.3 8910.74 0.39418 0.410212 8834.75
EBS_Pollock_2013 5 400 2019.5 4150.61 18529 12464.9 0.958434 0.0258336 11837
EBS_Pollock_2013 5 401 2019.5 6025.41 34510.7 18936.1 0.958434 0.0258336 18037.9
EBS_Pollock_2013 5 402 2019.5 4499.59 22223.9 13598.2 0.958434 0.0258336 13036.1
EBS_Pollock_2013 5 403 2019.5 4666.33 21729.2 13847.5 0.958434 0.0258336 13360.8
EBS_Pollock_2013 5 404 2019.5 5589.75 31176.8 17650.5 0.958434 0.0258336 17074
EBS_Pollock_2013 5 405 2019.5 5111.41 26306.2 15900.4 0.958434 0.0258336 15063.1
EBS_Pollock_2013 5 406 2019.5 4342.97 22072.6 13182.4 0.958434 0.0258336 12635.6
EBS_Pollock_2013 5 407 2019.5 4841.07 29199.1 15515 0.958434 0.0258336 14574.2
EBS_Pollock_2013 5 408 2019.5 5423.54 26061.7 16787.9 0.958434 0.0258336 16213.2
EBS_Pollock_2013 5 409 2019.5 5628.81 29060.5 17704.6 0.958434 0.0258336 17048.4
EBS_Pollock_2013 2 730 2019.5 2421.98 22971.5 9496.24 0.417904 0.36238 9263.85
EBS_Pollock_2013 2 731 2019.5 2343.79 22924.5 9098.47 0.426395 0.349606 8851.34
EBS_Pollock_2013 2 732 2019.5 2388.81 22483 9062.11 0.428911 0.347466 8997.61
EBS_Pollock_2013 2 733 2019.5 2828.11 26349.3 11169.8 0.407856 0.379419 10947.1
EBS_Pollock_2013 2 734 2019.5 2260.15 20509.1 8963.38 0.441273 0.329141 8574.65
EBS_Pollock_2013 2 735 2019.5 2273.41 17092.9 8586.42 0.433983 0.338373 8459.31
EBS_Pollock_2013 2 736 2019.5 2624.05 26034.1 10370.7 0.40654 0.381516 10121.5
EBS_Pollock_2013 2 737 2019.5 2854.56 25328.9 11226 0.416009 0.366595 10933.6
EBS_Pollock_2013 7 970 2019.5 3193.49 31786.8 13121.3 0.378887 0.438999 12821.5
EBS_Pollock_2013 2 738 2019.5 2340.05 20585.4 9092.39 0.428601 0.346676 8902.87
EBS_Pollock_2013 7 971 2019.5 2642.28 22023 10545.1 0.383606 0.430234 10472.2
EBS_Pollock_2013 2 739 2019.5 2093.58 14080.2 7635.71 0.456039 0.30946 7627.88
EBS_Pollock_2013 7 972 2019.5 2095.2 25466.5 8175.78 0.409113 0.377282 7998.06
EBS_Pollock_2013 7 973 2019.5 2304.12 20918 9178.73 0.388827 0.417047 9007.95
EBS_Pollock_2013 7 974 2019.5 2762.34 25549.2 11350.5 0.374132 0.448973 11133.2
EBS_Pollock_2013 1 220 2019.5 2384.33 23122.5 9332.8 0.420902 0.359076 9090.18
EBS_Pollock_2013 7 975 2019.5 2446.53 23444.3 9751.21 0.38622 0.423261 9601.75
EBS_Pollock_2013 1 221 2019.5 3715.97 34150.9 14892.2 0.402431 0.388488 14649
EBS_Pollock_2013 7 976 2019.5 2830.6 33086.6 12465 0.365242 0.467154 11797.7
EBS_Pollock_2013 1 222 2019.5 2237.99 21853.1 9124.66 0.439796 0.330938 8568.7
EBS_Pollock_2013 7 977 2019.5 2615.14 27223.9 10835.8 0.370138 0.455852 10574
EBS_Pollock_2013 1 223 2019.5 2651.43 23594.9 10287 0.41982 0.360961 10071.1
EBS_Pollock_2013 7 978 2019.5 2412.23 21509.8 9637.46 0.382373 0.430927 9504
EBS_Pollock_2013 1 224 2019.5 3061.42 25861.2 12091 0.404901 0.384283 11944.3
EBS_Pollock_2013 7 979 2019.5 2660.81 37473.6 12272.1 0.386887 0.421487 11288.1
EBS_Pollock_2013 1 225 2019.5 2399.64 20820.9 9133.24 0.417947 0.363076 9070.17
EBS_Pollock_2013 1 226 2019.5 2053.49 16426.9 7728.2 0.457596 0.30723 7531.1
EBS_Pollock_2013 1 227 2019.5 2952.57 27327.4 11625.1 0.403131 0.387267 11443.8
EBS_Pollock_2013 6 460 2019.5 2085.87 16845.1 7920.43 0.403189 0.390309 7952.97
EBS_Pollock_2013 1 228 2019.5 2442.87 20347.2 9495.46 0.416385 0.365297 9365.53
EBS_Pollock_2013 6 461 2019.5 2880.34 30355.9 12111.6 0.371715 0.452608 11862.7
EBS_Pollock_2013 1 229 2019.5 2455.57 27204.1 10135.8 0.416377 0.366181 9517.44
EBS_Pollock_2013 6 462 2019.5 2275.43 20942.6 9116.63 0.38199 0.429182 8999.9
EBS_Pollock_2013 6 463 2019.5 2261.44 27470 9132.03 0.392056 0.412469 8839.03
EBS_Pollock_2013 6 464 2019.5 2435.82 23931.5 10236.9 0.376117 0.443143 9829.86
EBS_Pollock_2013 6 465 2019.5 2852.07 32528.6 12284.4 0.367693 0.460018 11793.7
EBS_Pollock_2013 6 466 2019.5 2397.49 25039.4 9852.98 0.378147 0.439882 9633.68
EBS_Pollock_2013 6 467 2019.5 2208.19 25887 9282.19 0.394993 0.407188 8875.2
EBS_Pollock_2013 6 468 2019.5 2692.39 26018.5 11012.5 0.376625 0.443519 10725.4
EBS_Pollock_2013 6 469 2019.5 2209.1 24745.2 8765.43 0.389393 0.415579 8596.98
EBS_Pollock_2013 3 790 2019.5 2157.16 17670.3 8216.71 0.41734 0.362868 8049.8
EBS_Pollock_2013 3 791 2019.5 2197.74 19448.4 8392.82 0.41734 0.362868 8313.69
EBS_Pollock_2013 3 792 2019.5 2176.59 17866.3 8301.21 0.41734 0.362868 8222.62
EBS_Pollock_2013 3 793 2019.5 1970.64 18290.2 7645.65 0.41734 0.362868 7510.65
EBS_Pollock_2013 3 794 2019.5 2114.31 16772.5 7948.02 0.41734 0.362868 7884
EBS_Pollock_2013 3 795 2019.5 1850.75 12492.8 6937.64 0.41734 0.362868 6896.12
EBS_Pollock_2013 3 796 2019.5 2660.84 24343.5 10459 0.41734 0.362868 10166.7
EBS_Pollock_2013 3 797 2019.5 1895.48 19844.3 7240.73 0.41734 0.362868 7061.41
EBS_Pollock_2013 3 798 2019.5 2538.74 26394.1 9885.85 0.41734 0.362868 9585.54
EBS_Pollock_2013 3 799 2019.5 3091.61 29144.1 12461.1 0.41734 0.362868 12065.5
EBS_Pollock_2013 2 280 2019.5 2924.6 25427.1 11376.4 0.419761 0.361867 11226.4
EBS_Pollock_2013 2 281 2019.5 3320.44 35572.5 13726.7 0.407947 0.379281 13079.8
EBS_Pollock_2013 2 282 2019.5 2501.38 22295.1 9782.27 0.415555 0.366623 9515.55
EBS_Pollock_2013 2 283 2019.5 2790.63 25860.3 10670.8 0.418265 0.364103 10563.1
EBS_Pollock_2013 2 284 2019.5 3060.54 26660.6 12046 0.414481 0.369394 11820.1
EBS_Pollock_2013 6 920 2019.5 2019.07 16026.9 7683.99 0.413601 0.376616 7650.73
EBS_Pollock_2013 2 285 2019.5 3193.68 29710.8 12682.3 0.407876 0.379365 12417.5
EBS_Pollock_2013 6 921 2019.5 2327.04 19495.6 9196.84 0.386546 0.422937 9134.05
EBS_Pollock_2013 2 286 2019.5 2194.46 23501.2 8433.98 0.443562 0.325727 8147.15
EBS_Pollock_2013 6 922 2019.5 2408.96 28088.8 10552 0.38091 0.435785 9757.56
EBS_Pollock_2013 2 287 2019.5 2346.95 20093.5 9114.83 0.429416 0.34555 8945.68
EBS_Pollock_2013 6 923 2019.5 2750.17 31371.9 11944.1 0.362446 0.472192 11437.8
EBS_Pollock_2013 2 288 2019.5 2220.14 17074.9 8208.49 0.442524 0.328794 8158.78
EBS_Pollock_2013 6 924 2019.5 2389.5 28000.8 10387.8 0.373375 0.446978 9772.28
EBS_Pollock_2013 2 289 2019.5 2571.52 22944.1 10124.8 0.409138 0.377079 9936.75
EBS_Pollock_2013 6 925 2019.5 1984.26 18501.6 7636.45 0.416889 0.369475 7469.09
EBS_Pollock_2013 6 926 2019.5 2358.8 23211.3 9834.28 0.393073 0.417345 9460.31
EBS_Pollock_2013 6 927 2019.5 2232.64 23254.2 9089.71 0.394075 0.411264 8753.91
EBS_Pollock_2013 6 928 2019.5 2320.11 22454.3 9226.67 0.381314 0.433608 9173.78
EBS_Pollock_2013 6 929 2019.5 2393.36 26120.5 9746.7 0.380176 0.435034 9531.67
EBS_Pollock_2013 5 410 2019.5 5338.88 27676.2 16777 0.958434 0.0258336 15901.3
EBS_Pollock_2013 5 411 2019.5 4487.65 23361.4 13849.9 0.958434 0.0258336 13160.6
EBS_Pollock_2013 5 412 2019.5 4111.97 18771.8 12337.2 0.958434 0.0258336 11719.9
EBS_Pollock_2013 5 413 2019.5 5228.13 28895.4 16295.9 0.958434 0.0258336 15491.3
EBS_Pollock_2013 5 414 2019.5 3811.78 17029.3 11389.7 0.958434 0.0258336 10883.7
EBS_Pollock_2013 5 415 2019.5 4978.86 24315.4 15181.1 0.958434 0.0258336 14676.7
